"","LIB","Sample","PInumber","ISnum","WASAP","PlantName","Population","DuplicateLIBdecision","FilterMissing","Proportion.Missing","Proportion.Heterozygous","InbreedCoefficent","Kmeans_cluster","Germplasm","BotanicalType","CountryOrigin","Region","lat","lon","Elevation","Latitude"
"489","IXPS","PI513865","PI513865",NA,NA,"Amo Koire","Gates",NA,NA,0.1062441549,0.01934922783,1.0743,8,"Cultivar","Durra","Niger",NA,14.42000008,1.549999952,NA,14.42000008
"490","IXNA","PI513684","PI513684",NA,NA,"Bogoba","Gates",NA,NA,0.1118918398,0.0211970097,1.177934,13,"Cultivar","Caudatum-bicolor","Niger",NA,14.46347,5.250163,NA,14.46347
"491","JHES","IS5106","PI684140","IS5106",NA,NA,"Gates",NA,NA,0.1137790139,0.02003376087,1.149926,2,"Landrace",NA,"India",NA,14.470001,78.819999,NA,NA
"492","IXPT","PI513883","PI513883",NA,NA,"Abora Mamala","Gates",NA,NA,0.1037327663,0.02601608313,0.986883,8,"Cultivar","Durra","Niger",NA,14.56000042,0.709999979,NA,14.56000042
"493","JBRY","Sen010_039",NA,NA,"Sn010","Congossané N°10","Gates",NA,NA,0.1306825248,0.03707137831,1.598694,13,"Landrace","Guinea","Senegal","Diourbel",14.666664,-16.249999,NA,NA
"494","IXMX","PI513651","PI513651",NA,NA,"Fara Dawa","Gates",NA,NA,0.1102130884,0.02059619667,1.121392,8,"Cultivar","Durra","Niger",NA,14.67000008,4.349999905,NA,14.67000008
"495","JBSA","Sen011_047",NA,NA,"Sn011","Congossané N°15","Gates",NA,NA,0.1071949519,0.02098830923,1.187459,17,"Landrace","Guinea","Senegal","Bambey",14.7166638,-16.6166642,NA,NA
"496","JBSI","Sen041_10",NA,NA,"Sn041","Congossané","Gates",NA,NA,0.1085123467,0.02058701466,1.149842,17,"Landrace","Guinea","Senegal","Bambey",14.7166638,-16.6166642,NA,NA
"497","IXPY","PI514403","PI514403",NA,NA,"Nieniko","Gates",NA,NA,0.1064256513,0.02148688185,1.167817,17,"Cultivar","Guinea","Senegal",NA,14.73,-13.71,NA,14.73
"498","JBRB","Ni001_264",NA,"IS41768","Ni001","Kadâga","Gates",NA,NA,0.1100470379,0.02047388513,1.088894,8,"Landrace","Durra","Niger","Wanzerbé",14.74277,0.362778,NA,NA
"499","JBRC","Ni002_239",NA,"IS41769","Ni002","Kadelt Hamo","Gates",NA,NA,0.09805773914,0.02948569192,1.21082,9,"Landrace","Caudatum","Niger","Wanzerbé",14.74277,0.362778,NA,NA
"500","IXNB","PI513707","PI513707",NA,NA,"Mota Ja","Gates",NA,NA,0.11690175,0.02279507624,1.249932,13,"Cultivar","Caudatum-bicolor","Niger",NA,14.7589,5.7747,NA,14.7589
"501","IPCE","PI513709","PI513709",NA,NA,"Mota Fara","Gates",NA,NA,0.1139978634,0.01885778559,1.102734,19,"Cultivar",NA,"Niger",NA,14.7589,5.7747,NA,14.7589
"502","IXMU","PI513568","PI513568",NA,NA,"Sababassata","Gates",NA,NA,0.1247460264,0.01848779789,1.181029,13,"Cultivar","Durra-caudatum","Niger",NA,14.8263,8.2761,NA,14.8263
"503","IZHK","Sen038_087",NA,NA,"Sn038","Senguirane","Gates",NA,NA,0.1042054334,0.02074357859,1.186366,17,"Landrace","Guinea","Senegal","Mont-Roland",14.92082,-16.99047,NA,NA
"504","IXQF","PI585671","PI585671",NA,NA,"KENINKE","Gates",NA,NA,0.09720740988,0.0307928238,1.074196,17,"Cultivar","Guinea","Mali",NA,15.01000023,-7.659999847,NA,15.01000023
"505","INLK","PI291246_IS_2253","PI291246","IS2253",NA,"IS2253","BAP",NA,NA,0.1249796562,0.02095407128,1.167734,2,"Breeding","Durra","India,Jamaica",NA,15.090001,77.040001,NA,15.090001
"506","IXMI","PI571302","PI571302","IS9927",NA,"IS9927","Gates",NA,NA,0.09696812305,0.01842686118,1.077707,5,"Landrace","Caudatum","Sudan",NA,15.130001,35.380001,NA,15.130001
"507","INXQ","PI475552","PI475552","IS28849",NA,"IS28849","Gates",NA,NA,0.1260427341,0.02297660523,1.173074,18,"Landrace","Kafir-durra","Yemen",NA,15.140001,43.560001,650,15.140001
"508","IQSA","IS_22074",NA,"IS22074",NA,"Kebari jola","Gates",NA,NA,0.1187108349,0.02280590382,1.202095,2,"Landrace",NA,"India",NA,15.140001,76.910001,650,NA
"509","IXPU","PI514284","PI514284",NA,NA,"Nieniko","Gates",NA,NA,0.1066728691,0.02022188104,1.163715,17,"Cultivar","Guinea","Senegal",NA,15.18,-13.74,NA,15.18
